SS,Site,Depth,Depth,Tide,Tide
SS,Site,Min,Max,Min,Max
A-14.3.4E,0067_ZA00PC2,3.8,6.8,-0.30,0.35
A-14.3.4E,0068_ZA00PC2,3.8,5.9,-0.30,0.35
A-14.3.4E,0069_ZA00PC2,4.1,5.3,-0.30,0.35
A-14.3.4E,0070_ZA00PC2,4.2,5.9,-0.30,0.35
A-14.3.5E,0073_ZA00PC2,4.5,5.6,-0.30,0.35
A-14.3.5E,0074_ZA00PC2,4.5,5.8,-0.30,0.35
A-14.3.5E,0074_ZA11,4.5,5.2,-0.29,0.31
A-14.3.5E,0075_ZA00PC2,5.1,6.1,-0.30,0.35
A-14.3.5E,0076_ZA00PC2,4.7,6.0,-0.32,0.35
A-14.3.5E,0077,4.3,8.2,-0.32,0.35
A-14.3.5E,0079,4.8,5.4,-0.32,0.33
A-14.3.5E,0081,4.7,5.7,-0.32,0.33
A-15.1.1,0019,1.3,1.8,-0.30,0.35
A-15.1.2,0016,0.8,3.6,-0.32,0.35
A-15.1.2,0021,0.5,3.5,-0.32,0.35
A-15.1.2,0022,0.4,4.1,-0.32,0.35
A-15.1.2,0023,2.4,4.5,-0.32,0.35
A-15.1.2,0027,1.0,5.9,-0.32,0.35
A-15.1.2,0028,0.4,1.5,-0.32,0.35
A-15.1.2,0029,0.3,5.9,-0.32,0.35
A-15.1.2,0032,0.4,0.9,-0.32,0.35
A-15.1.2,0033,0.3,1.9,-0.32,0.35
A-15.1.2,0037,0.4,0.9,-0.32,0.35
A-15.1.2,0038,0.4,0.9,-0.32,0.35
A-15.1.2,0039,0.4,1.1,-0.32,0.35
A-15.1.2,0039,0.4,1.1,-0.32,0.35
A-15.1.2.1E,0044,2.7,4.2,-0.33,0.35
A-15.1.2.1E,0045,0.7,3.9,-0.33,0.35
A-15.1.2.1E,0046,0.4,3.5,-0.33,0.35
A-15.1.2.1E,0047,1.5,3.1,-0.33,0.35
A-15.1.2.1E,0080_R,0.3,0.5,-0.30,0.31
A-15.1.2.2E,0040_V,0.4,0.5,-0.29,0.31
A-15.1.2.2E,0041,0.4,0.4,-0.29,0.31
A-15.1.2.2E,0042,0.5,1.2,-0.29,0.32
A-15.1.2.2E,0043,0.6,3.5,-0.29,0.32
A-15.1.2.2E,0049,0.4,0.8,-0.29,0.32
A-15.1.2.2E,0050,0.4,0.5,-0.18,0.23
A-15.1.2.2E,0051_R,0.4,1.3,-0.27,0.29
A-15.1.3,0036,0.3,0.9,-0.32,0.35
A-15.1.3,0048,0.5,1.0,-0.32,0.35
A-16.1,0002,0.4,3.0,-0.49,0.32
A-16.1,0003,3.2,3.2,-0.49,0.34
A-16.1,0006,2.0,2.0,-0.49,0.32
A-16.1.1,0001,0.5,1.3,-0.49,0.34
A-16.1.1,0005,3.0,3.0,-0.49,0.34
A-16.1.1,0008,1.8,3.5,-0.49,0.34
A-16.1.1,0010_ZA13,2.6,6.0,-0.55,0.36
A-16.1.1,0011,0.6,5.0,-0.55,0.36
A-16.1.1,0012,0.7,6.2,-0.55,0.36
A-16.1.1,0013_ZA09,0.6,1.8,-0.49,0.34
A-16.1.1,0013_ZA13,0.5,2.0,-0.55,0.36
A-16.1.1,0014,2.5,3.0,-0.49,0.34
A-16.1.1,0014,2.5,3.0,-0.49,0.34
A-16.1.1,0015,0.6,0.6,-0.49,0.34
A-16.1.1,0023,0.8,3.3,-0.55,0.36
A-16.1.1,0024,1.3,2.1,-0.55,0.36
A-16.1.1,0025,1.5,2.8,-0.55,0.36
A-16.1.1,0026,2.3,3.6,-0.55,0.36
A-16.1.1,0027,2.5,3.4,-0.55,0.36
A-16.1.1,0028,2.3,6.1,-0.55,0.36
A-16.1.1,0034,3.0,7.0,-0.52,0.36
A-16.1.1,0035,1.0,2.0,-0.52,0.36
A-16.1.1,0037,1.3,1.4,-0.43,0.29
A-16.1.1.2,0014,0.4,2.2,-0.55,0.36
A-16.1.1.2,0015,0.7,2.6,-0.55,0.36
A-16.1.1.2,0016,1.0,2.1,-0.55,0.36
A-16.1.1.2,0017,0.6,2.0,-0.55,0.36
A-16.1.1.2,0029,2.0,4.5,-0.55,0.36
A-16.1.1.2,0030,3.1,4.1,-0.55,0.36
A-16.1.1.2,0031,3.1,4.0,-0.55,0.36
A-16.1.1.2,0032,2.0,4.4,-0.55,0.36
A-16.1.1.2,0033,0.9,2.3,-0.55,0.36
A-16.1.1.2,0038,1.0,1.9,-0.51,0.34
A-16.1.2,0004,1.6,2.9,-0.55,0.36
A-16.1.2,0005,0.3,1.3,-0.55,0.36
A-16.1.2,0006,0.6,1.8,-0.55,0.36
A-16.1.2,0006,0.6,1.8,-0.55,0.36
A-16.1.2,0007,0.5,4.7,-0.55,0.36
A-16.1.2,0008,2.5,3.5,-0.55,0.36
A-16.1.2,0009,0.4,3.3,-0.55,0.36
A-16.1.2,0018,2.4,5.3,-0.55,0.36
A-16.1.2,0019,2.6,3.5,-0.55,0.36
A-16.1.2,0020,1.5,4.6,-0.55,0.36
A-16.1.2,0021,2.1,8.6,-0.55,0.36
A-16.1.2,0022,0.5,2.3,-0.55,0.36
A-16.1.2,0036,0.6,1.8,-0.52,0.36
A-16.1.2,0036,0.6,1.8,-0.52,0.36
A-16.2,0003,0.5,1.0,-0.52,0.35
A-16.2,0009,0.5,1.0,-0.50,0.35
A-16.2.1.1,0028,0.8,1.8,-0.52,0.37
A-16.2.1.1,0029,0.4,1.3,-0.52,0.37
A-16.2.1.1,0030,0.5,1.3,-0.52,0.37
A-16.2.1.1,0031,0.4,1.1,-0.52,0.37
A-16.2.1.1,0032,1.4,2.9,-0.52,0.37
A-16.2.1.1,0033_R,3.6,6.3,-0.52,0.37
A-16.2.1.1,0042,3.3,3.9,-0.52,0.37
A-16.2.1.1,0043,2.9,5.2,-0.52,0.37
A-16.2.1.1,0044,2.7,4.4,-0.52,0.37
A-16.2.1.1,0045,5.4,6.7,-0.52,0.37
A-16.2.1.1,0046,5.2,7.7,-0.52,0.37
A-16.2.1.1,0047,5.3,6.6,-0.52,0.37
A-16.2.1.1,0048,5.8,8.2,-0.52,0.37
A-16.2.1.1,0049,6.6,8.7,-0.52,0.37
A-16.2.1.1,0050_R,4.8,5.7,-0.52,0.37
A-16.2.2,0002,2.0,5.0,-0.55,0.35
A-17.1,0001,1.7,2.5,-0.52,0.33
A-17.1,0001,1.7,2.5,-0.52,0.33
A-17.1,0002,1.7,3.0,-0.54,0.37
A-17.1,0003,1.4,2.6,-0.54,0.37
A-17.1,0004,1.6,3.6,-0.54,0.37
A-17.1,0005,0.9,2.3,-0.54,0.37
A-17.1,0006,1.1,4.8,-0.54,0.37
A-17.1,0007,0.6,5.8,-0.54,0.37
A-17.1,0008,1.1,4.5,-0.54,0.37
A-17.1,0009,1.6,4.5,-0.54,0.37
A-17.1,0010,1.4,4.7,-0.54,0.37
A-17.1,0011,1.8,5.8,-0.54,0.37
A-17.1,0012,2.0,2.9,-0.54,0.37
A-17.1,0013,1.7,5.2,-0.54,0.37
A-17.1,0014,0.8,2.7,-0.54,0.37
A-17.1,0015,1.4,4.3,-0.54,0.37
A-17.1,0016,1.5,3.9,-0.54,0.37
A-17.1,0017,1.6,4.0,-0.54,0.37
A-17.1,0018,1.4,2.5,-0.54,0.37
A-17.1,0019,1.1,2.2,-0.54,0.37
A-17.1,0020,3.5,5.2,-0.54,0.37
A-17.1,0021,3.6,5.0,-0.54,0.37
A-17.2,0022,1.3,2.0,-0.48,0.32
A-17.2,0022,1.3,2.0,-0.48,0.32
